>> NSteps = 150, dt = 0.020000, tStop = 3.000000
>> Model: evolvingArc, NVerts = 642
>> SDF grid bounds: min = (-4.284823, -2.875398, -3.350904), max = (4.004843, 5.096908, 3.338714)
>> SDF resolution: 120 x 115 x 96
-------------------------------------------------------------
starting evolution ...
Sum(rhs) = 0.00775677
Sum(rhs) = -0.00450171
Sum(rhs) = -0.00835251
Sum(rhs) = 0.00433702
Sum(rhs) = -0.000328094
Sum(rhs) = 0.00296097
Sum(rhs) = -0.00212018
Sum(rhs) = -0.00127538
Sum(rhs) = -0.00104914
Sum(rhs) = 0.00142752
Sum(rhs) = 0.000671232
Sum(rhs) = 0.000821833
Sum(rhs) = 0.00200142
Sum(rhs) = -0.000344186
Sum(rhs) = 0.00216273
Sum(rhs) = -0.00104817
Sum(rhs) = 0.00181916
Sum(rhs) = -0.00307999
Sum(rhs) = -0.0007712
Sum(rhs) = -0.00131186
Sum(rhs) = 0.00267543
Sum(rhs) = -0.000752751
Sum(rhs) = -0.000781556
Sum(rhs) = 0.00266425
Sum(rhs) = -0.00044051
Sum(rhs) = 0.00105759
Sum(rhs) = -0.00217051
Sum(rhs) = -0.00020875
Sum(rhs) = 0.000503082
Sum(rhs) = -0.00171891
Sum(rhs) = -0.000187569
Sum(rhs) = 0.00114694
Sum(rhs) = 0.000367926
Sum(rhs) = 5.14105e-05
Sum(rhs) = 0.00017378
Sum(rhs) = 0.00022447
Sum(rhs) = -0.000262319
Sum(rhs) = -0.00109707
Sum(rhs) = -0.000786296
Sum(rhs) = 0.000244426
Sum(rhs) = 1.43471e-05
Sum(rhs) = -0.000385921
Sum(rhs) = -0.00049484
Sum(rhs) = -0.00100031
Sum(rhs) = 0.00052504
Sum(rhs) = 0.00142386
Sum(rhs) = -0.000180799
Sum(rhs) = 0.000911571
Sum(rhs) = -0.000700175
Sum(rhs) = 0.000309209
Sum(rhs) = 9.87345e-05
Sum(rhs) = -3.65673e-05
Sum(rhs) = -0.0005052
Sum(rhs) = 0.00134306
Sum(rhs) = -0.000340063
Sum(rhs) = 0.000394357
Sum(rhs) = -0.000761682
Sum(rhs) = 0.00103839
Sum(rhs) = -0.00136009
Sum(rhs) = -0.0015201
Sum(rhs) = -3.6165e-05
Sum(rhs) = 0.000472591
Sum(rhs) = 0.00060161
Sum(rhs) = 0.000200567
Sum(rhs) = -0.000315497
Sum(rhs) = 0.000926006
Sum(rhs) = 0.000155354
Sum(rhs) = 0.000574877
Sum(rhs) = -0.000114446
Sum(rhs) = 0.000151345
Sum(rhs) = 0.00106871
Sum(rhs) = 0.000939784
Sum(rhs) = -0.000514984
Sum(rhs) = -0.000392328
Sum(rhs) = -0.000156559
Sum(rhs) = -0.000921384
Sum(rhs) = -0.000275685
Sum(rhs) = 0.000590187
Sum(rhs) = -0.000384918
Sum(rhs) = -8.31037e-05
Sum(rhs) = -0.000324787
Sum(rhs) = 0.000687124
Sum(rhs) = -0.000840836
Sum(rhs) = 9.48301e-05
Sum(rhs) = -0.00016051
Sum(rhs) = 0.000386429
Sum(rhs) = -0.0010094
Sum(rhs) = 0.000121896
Sum(rhs) = -0.000105472
Sum(rhs) = -0.000328898
Sum(rhs) = -8.51843e-05
Sum(rhs) = 0.000404148
Sum(rhs) = 4.29968e-05
Sum(rhs) = 0.000176755
Sum(rhs) = -0.000320815
Sum(rhs) = 0.000136114
Sum(rhs) = 0.000143096
Sum(rhs) = -2.96366e-05
Sum(rhs) = -0.000138208
Sum(rhs) = 0.000538525
Sum(rhs) = 0.000335092
Sum(rhs) = 0.000410439
Sum(rhs) = -1.8701e-05
Sum(rhs) = -8.10348e-05
Sum(rhs) = -0.000861988
Sum(rhs) = 0.00034597
Sum(rhs) = 0.000422849
Sum(rhs) = -0.000758907
Sum(rhs) = 2.56721e-05
Sum(rhs) = 0.00031876
Sum(rhs) = -0.000329368
Sum(rhs) = -0.000158988
Sum(rhs) = 0.00022537
Sum(rhs) = 7.44658e-05
Sum(rhs) = -6.69391e-05
Sum(rhs) = 0.000168502
Sum(rhs) = -2.39954e-05
Sum(rhs) = -0.000379638
Sum(rhs) = -9.88081e-05
Sum(rhs) = -2.27993e-05
Sum(rhs) = 0.000545314
Sum(rhs) = 0.000190246
Sum(rhs) = -0.000321119
Sum(rhs) = -0.00021855
Sum(rhs) = 0.000401079
Sum(rhs) = -0.000128565
Sum(rhs) = 0.000148277
Sum(rhs) = 0.000233345
Sum(rhs) = 0.000847459
Sum(rhs) = -6.86601e-05
Sum(rhs) = 0.000151571
Sum(rhs) = 0.000532539
Sum(rhs) = -0.000406392
Sum(rhs) = 0.000602453
Sum(rhs) = 0.000432954
Sum(rhs) = 0.000324433
Sum(rhs) = 8.23304e-05
Sum(rhs) = -0.00102047
Sum(rhs) = 0.000277979
Sum(rhs) = -0.000228029
Sum(rhs) = -0.00018738
Sum(rhs) = -0.000224419
Sum(rhs) = -0.00104123
Sum(rhs) = 0.000898488
Sum(rhs) = 0.000528122
Sum(rhs) = 0.000674067
Sum(rhs) = -0.000664021
Sum(rhs) = 0.000139447
Sum(rhs) = 0.000722348
Sum(rhs) = -0.000137123
